Age,Attrition,DistanceFromHome,Education,EnvironmentSatisfaction,JobInvolvement,JobLevel,JobSatisfaction,MonthlyIncome,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,income_per_year,years_since_promotion_ratio,satisfaction_score,BusinessTravel_Travel_Frequently,BusinessTravel_Travel_Rarely,Department_Research & Development,Department_Sales,EducationField_Life Sciences,EducationField_Marketing,EducationField_Medical,EducationField_Other,EducationField_Technical Degree,Gender_Male,JobRole_Human Resources,JobRole_Laboratory Technician,JobRole_Manager,JobRole_Manufacturing Director,JobRole_Research Director,JobRole_Research Scientist,JobRole_Sales Executive,JobRole_Sales Representative,MaritalStatus_Married,MaritalStatus_Single
35,0,16,3,1,4,1,2,2426,0,0,13,3,3,1,6,5,3,5,4,0,3,4852.0,0.0,2.0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0
29,0,15,2,4,2,2,3,4193,0,1,12,3,4,0,10,3,3,9,5,0,8,5031.6,0.0,3.3333333333333335,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
31,0,26,1,1,3,1,3,2911,1,0,17,3,4,1,5,1,2,5,2,4,3,6986.4,0.8,2.0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
34,0,19,2,2,3,1,4,2661,0,0,11,3,3,1,3,2,3,2,2,1,2,10644.0,0.3333333333333333,3.0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0
28,1,24,3,3,2,1,3,2028,5,1,14,3,2,0,6,4,3,4,2,0,3,4056.0,0.0,3.0,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
29,0,21,4,2,4,3,1,9980,1,0,11,3,3,1,10,1,3,10,9,8,8,11976.0,0.8,2.0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
32,0,5,2,1,4,1,2,3298,0,1,12,3,4,2,7,5,2,6,2,0,5,5653.714285714285,0.0,1.6666666666666667,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
22,0,16,2,4,4,1,4,2935,1,1,13,3,2,2,1,2,2,1,0,0,0,35220.0,0.0,3.3333333333333335,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0
53,0,2,4,1,2,4,4,15427,2,0,16,3,3,0,31,3,3,25,8,3,7,5971.741935483871,0.0967741935483871,2.6666666666666665,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
38,0,2,3,4,3,1,4,3944,5,1,11,3,3,0,6,3,3,3,2,1,2,7888.0,0.16666666666666666,3.6666666666666665,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
24,0,11,2,1,4,2,3,4011,0,0,18,3,4,1,5,5,2,4,2,1,3,9626.4,0.2,2.0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
36,1,9,4,3,2,1,1,3407,7,0,23,4,2,0,10,4,3,5,3,0,3,4088.4,0.0,2.3333333333333335,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
34,0,7,4,1,3,3,2,11994,0,0,11,3,3,0,13,4,3,12,6,2,11,11071.384615384615,0.15384615384615385,2.0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
21,0,15,2,3,3,1,4,1232,1,0,14,3,4,0,0,6,3,0,0,0,0,14784.0,0.0,3.3333333333333335,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
34,1,6,1,2,3,1,1,2960,2,0,11,3,3,0,8,2,3,4,2,1,3,4440.0,0.125,2.0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1
53,0,5,3,3,3,5,3,19094,4,0,11,3,4,1,26,3,2,14,13,4,8,8812.615384615385,0.15384615384615385,2.6666666666666665,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
32,1,16,1,2,1,1,1,3919,1,1,22,4,2,0,10,5,3,10,2,6,7,4702.8,0.6,2.0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
42,0,8,4,3,3,2,2,6825,0,0,11,3,4,1,10,2,3,9,7,4,2,8190.0,0.4,2.6666666666666665,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0
44,0,7,4,1,2,3,4,10248,3,0,14,3,4,1,24,4,3,22,6,5,17,5124.0,0.20833333333333334,2.6666666666666665,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
46,0,2,4,2,3,5,1,18947,3,0,12,3,4,0,22,2,2,2,2,2,1,10334.727272727272,0.09090909090909091,1.6666666666666667,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
33,0,2,3,3,3,1,4,2496,4,0,11,3,4,0,7,3,3,1,1,0,0,4278.857142857143,0.0,3.3333333333333335,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1
44,0,10,4,4,3,2,4,6465,2,1,13,3,4,0,9,5,4,4,2,1,3,8620.0,0.1111111111111111,4.0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0
30,0,9,2,4,2,1,3,2206,1,0,13,3,1,0,10,5,3,10,0,1,8,2647.2,0.1,3.3333333333333335,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1
39,1,5,3,4,3,2,4,2086,3,0,14,3,3,1,19,6,4,1,0,0,0,1317.4736842105262,0.0,4.0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0
24,1,1,3,2,3,1,4,2293,2,1,16,3,1,1,6,2,2,2,0,2,0,4586.0,0.3333333333333333,2.6666666666666665,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0
43,0,2,2,4,4,1,3,2645,1,0,12,3,4,2,6,3,2,5,3,1,4,5290.0,0.16666666666666666,3.0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
50,1,3,2,1,2,1,3,2683,1,1,14,3,3,0,3,2,3,3,2,0,2,10732.0,0.0,2.3333333333333335,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0
35,0,2,3,4,3,1,4,2014,1,0,13,3,1,0,2,3,3,2,2,2,2,12084.0,1.0,3.6666666666666665,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0
36,0,5,4,2,2,1,1,3419,9,1,14,3,4,1,6,3,4,1,1,0,0,6838.0,0.0,2.3333333333333335,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
33,0,1,3,3,4,2,1,5376,2,0,19,3,1,2,10,3,3,5,3,1,3,6451.2,0.1,2.3333333333333335,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
35,0,4,2,3,3,1,4,1951,1,0,12,3,3,1,1,3,3,1,0,0,0,23412.0,0.0,3.3333333333333335,0,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0
27,0,2,4,4,3,1,1,2341,1,0,13,3,4,1,1,6,3,1,0,0,0,28092.0,0.0,2.6666666666666665,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
26,1,25,3,1,1,1,3,2293,1,0,12,3,3,0,1,2,2,1,0,0,1,27516.0,0.0,2.0,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
27,0,8,3,4,3,3,3,8726,1,0,15,3,4,0,9,0,3,9,8,1,7,11634.666666666666,0.1111111111111111,3.3333333333333335,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1
30,0,1,2,3,3,2,4,4011,1,0,23,4,4,0,12,2,3,12,8,3,7,4011.0,0.25,3.3333333333333335,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
41,1,12,3,2,3,5,3,19545,1,0,12,3,4,0,23,0,3,22,15,15,8,10197.391304347826,0.6521739130434783,2.6666666666666665,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
34,0,23,4,2,3,2,3,4568,0,0,20,4,3,0,10,2,3,9,5,8,7,5481.6,0.8,2.6666666666666665,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1
37,0,19,2,2,3,1,2,3022,4,0,21,4,1,0,8,1,3,1,0,0,0,4533.0,0.0,2.3333333333333335,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
46,0,5,4,1,3,2,4,5772,4,1,21,4,3,0,14,4,3,9,6,0,8,4947.428571428572,0.0,2.6666666666666665,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1
35,0,8,1,4,4,1,4,2269,1,0,19,3,4,0,1,2,3,1,0,0,1,27228.0,0.0,3.6666666666666665,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0
48,1,1,2,1,2,3,3,5381,9,1,13,3,4,0,23,2,3,1,0,0,0,2807.478260869565,0.0,2.3333333333333335,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
28,1,5,4,3,3,1,3,3441,1,1,13,3,3,0,2,3,2,2,2,2,2,20646.0,1.0,2.6666666666666665,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1
44,0,1,5,2,3,2,1,5454,5,1,21,4,3,1,9,2,2,4,3,1,3,7272.0,0.1111111111111111,1.6666666666666667,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
35,0,11,2,3,2,3,1,9884,2,1,13,3,3,1,10,3,3,4,0,2,3,11860.8,0.2,2.3333333333333335,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
26,0,23,3,3,2,2,4,4157,7,1,19,3,3,1,5,2,2,2,2,0,0,9976.8,0.0,3.0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0
33,0,1,2,1,3,3,4,13458,1,1,12,3,3,0,15,1,3,15,14,8,12,10766.4,0.5333333333333333,2.6666666666666665,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
35,0,18,5,2,3,3,1,9069,1,0,22,4,4,1,9,3,2,9,8,1,8,12092.0,0.1111111111111111,1.6666666666666667,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0
35,0,23,4,3,3,1,1,4014,3,1,15,3,3,1,4,3,3,2,2,2,2,12042.0,0.5,2.3333333333333335,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
31,0,7,4,4,3,2,4,5915,3,0,22,4,4,1,10,3,2,7,7,1,7,7098.0,0.1,3.3333333333333335,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
37,0,1,4,1,2,2,3,5993,1,0,18,3,3,1,7,2,4,7,5,0,7,10273.714285714286,0.0,2.6666666666666665,0,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
32,0,1,3,1,3,2,4,6162,1,1,22,4,2,1,9,3,3,9,8,7,8,8216.0,0.7777777777777778,2.6666666666666665,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0
38,0,29,5,4,3,2,4,2406,1,0,11,3,4,0,10,2,3,10,3,9,9,2887.2,0.9,3.6666666666666665,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
50,0,7,2,2,2,5,3,18740,5,1,12,3,4,1,29,2,2,27,3,13,8,7754.482758620689,0.4482758620689655,2.3333333333333335,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
59,0,25,3,1,3,3,1,7637,7,0,11,3,4,0,28,3,2,21,16,7,9,3273.0,0.25,1.3333333333333333,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
36,0,8,3,3,3,3,3,10096,1,0,13,3,2,3,17,2,3,17,14,12,8,7126.588235294118,0.7058823529411765,3.0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
55,0,8,3,4,3,4,3,14756,2,1,14,3,3,3,21,2,3,5,0,0,2,8432.0,0.0,3.3333333333333335,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
36,0,11,3,2,2,2,2,6499,1,0,13,3,3,0,6,3,3,6,5,0,3,12998.0,0.0,2.3333333333333335,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
45,0,7,3,2,3,3,1,9724,2,0,17,3,3,1,25,2,3,1,0,0,0,4667.52,0.0,2.0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
35,0,1,3,2,3,1,1,2194,4,0,13,3,4,1,5,2,2,3,2,1,2,5265.6,0.2,1.6666666666666667,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0
36,1,9,3,4,2,1,3,3388,0,1,17,3,1,1,2,0,2,1,0,0,0,20328.0,0.0,3.0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0
59,0,1,1,1,2,2,3,5473,7,0,11,3,4,0,20,2,2,4,3,1,3,3283.8,0.05,2.0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
29,0,2,3,3,3,1,2,2703,0,0,23,4,4,1,6,3,3,5,4,0,4,5406.0,0.0,2.6666666666666665,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
31,0,1,4,3,3,1,2,2501,1,0,17,3,2,0,1,4,3,1,1,1,0,30012.0,1.0,2.6666666666666665,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1
32,0,1,3,2,3,2,2,6220,1,0,17,3,2,2,10,3,3,10,4,0,9,7464.0,0.0,2.3333333333333335,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
36,0,6,3,2,4,1,4,3038,3,0,12,3,2,0,5,3,3,1,0,0,0,7291.2,0.0,3.0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
31,0,8,4,3,3,2,4,4424,1,0,23,4,4,0,11,2,3,11,7,1,8,4826.181818181818,0.09090909090909091,3.3333333333333335,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
35,0,1,4,3,2,2,1,4312,0,0,14,3,2,0,16,2,3,15,13,2,8,3234.0,0.125,2.3333333333333335,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1
45,0,6,4,4,3,3,1,13245,4,1,14,3,2,0,17,3,4,0,0,0,0,9349.411764705883,0.0,3.0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0
37,0,7,4,1,3,3,3,13664,4,0,13,3,1,0,16,3,4,5,2,0,2,10248.0,0.0,2.6666666666666665,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1
46,0,5,2,2,3,2,2,5021,8,1,22,4,4,1,16,2,3,4,2,0,2,3765.75,0.0,2.3333333333333335,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
30,0,1,1,4,2,2,4,5126,1,1,12,3,3,2,10,1,2,10,8,3,0,6151.2,0.3,3.3333333333333335,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0
35,0,1,3,2,2,1,3,2859,1,0,18,3,1,0,6,3,3,6,4,0,4,5718.0,0.0,2.6666666666666665,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1
55,0,1,2,1,3,3,4,10239,3,0,14,3,4,1,24,4,3,1,0,1,0,5119.5,0.041666666666666664,2.6666666666666665,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0
38,0,6,3,2,1,2,4,5329,7,1,12,3,4,3,17,3,3,13,11,1,9,3761.6470588235293,0.058823529411764705,3.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
34,0,1,2,1,3,2,2,4325,1,0,15,3,3,0,5,2,3,5,2,1,3,10380.0,0.2,2.0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0
56,0,7,3,4,1,3,4,7260,4,0,11,3,1,0,37,3,2,6,4,0,2,2354.5945945945946,0.0,3.3333333333333335,0,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
23,0,2,1,3,3,1,1,2322,3,0,13,3,3,1,3,3,3,0,0,0,0,9288.0,0.0,2.3333333333333335,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0
51,0,9,4,4,3,1,4,2075,3,0,23,4,2,2,10,4,3,4,2,0,3,2490.0,0.0,3.6666666666666665,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0
30,0,2,3,3,2,2,4,4152,1,0,19,3,1,3,11,3,3,11,10,10,8,4529.454545454545,0.9090909090909091,3.3333333333333335,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
46,1,9,2,3,2,3,4,9619,1,0,16,3,4,0,9,3,3,9,8,4,7,12825.333333333334,0.4444444444444444,3.3333333333333335,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1
40,0,1,4,3,2,4,2,13503,1,0,22,4,4,1,22,3,2,22,3,11,11,7365.272727272727,0.5,2.3333333333333335,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
51,0,21,4,3,3,2,4,5441,0,1,22,4,4,0,11,2,1,10,7,1,0,5935.636363636364,0.09090909090909091,2.6666666666666665,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1
30,0,4,2,3,2,2,2,5209,1,1,12,3,2,3,11,4,2,11,8,2,7,5682.545454545455,0.18181818181818182,2.3333333333333335,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
46,0,1,3,3,2,3,1,10673,2,1,13,3,3,1,21,5,2,10,9,9,5,6098.857142857143,0.42857142857142855,2.0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
32,0,6,4,2,3,2,3,5010,1,0,16,3,1,0,12,0,3,11,8,5,7,5010.0,0.4166666666666667,2.6666666666666665,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1
54,0,2,4,1,3,3,3,13549,9,0,12,3,1,1,16,5,1,4,3,0,3,10161.75,0.0,1.6666666666666667,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
24,0,3,2,1,3,2,3,4999,0,0,21,4,1,1,4,2,2,3,2,0,2,14997.0,0.0,2.0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0
28,0,4,3,2,3,2,3,4221,1,0,15,3,2,0,5,3,4,5,4,0,4,10130.4,0.0,3.0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0
58,0,10,4,4,3,4,3,13872,0,0,13,3,3,0,38,1,2,37,10,1,8,4380.631578947368,0.02631578947368421,3.0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1
44,0,23,3,2,3,2,2,2042,4,0,12,3,3,1,17,3,4,3,2,1,2,1441.4117647058824,0.058823529411764705,2.6666666666666665,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0
37,1,6,4,3,3,1,1,2073,4,1,22,4,4,0,7,3,3,3,2,0,2,3553.714285714286,0.0,2.3333333333333335,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
32,0,1,1,4,3,1,1,2956,1,0,13,3,4,0,1,2,3,1,0,0,0,35472.0,0.0,2.6666666666666665,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
20,1,6,3,4,2,1,4,2926,1,1,18,3,2,0,1,5,3,1,0,1,0,35112.0,1.0,3.6666666666666665,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
34,0,6,4,1,3,2,3,4809,1,0,14,3,3,0,16,3,3,16,13,2,10,3606.75,0.125,2.3333333333333335,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
37,0,2,2,3,2,2,4,5163,5,0,14,3,4,1,17,2,4,1,0,0,0,3644.470588235294,0.0,3.6666666666666665,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
59,0,2,4,3,2,5,4,18844,9,0,21,4,4,1,30,3,3,3,2,2,2,7537.6,0.06666666666666667,3.3333333333333335,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
50,0,1,3,1,3,5,2,18172,3,1,19,3,1,0,28,1,2,8,3,0,7,7788.0,0.0,1.6666666666666667,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
25,1,5,3,3,2,2,3,5744,1,1,11,3,4,0,6,1,3,6,4,0,3,11488.0,0.0,3.0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1
25,0,7,1,4,2,1,4,2889,1,0,11,3,3,2,2,2,3,2,2,2,1,17334.0,1.0,3.6666666666666665,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0
22,0,15,3,2,3,1,4,2871,1,0,15,3,3,0,1,5,3,0,0,0,0,34452.0,0.0,3.0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
51,0,1,4,1,2,3,1,7484,3,0,20,4,3,0,23,1,2,13,12,12,8,3904.695652173913,0.5217391304347826,1.3333333333333333,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
34,1,7,3,1,1,2,3,6074,1,1,24,4,4,0,9,3,3,9,7,0,6,8098.666666666667,0.0,2.3333333333333335,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
54,0,26,3,4,4,4,4,17328,2,1,12,3,3,0,23,3,3,5,3,4,4,9040.695652173914,0.17391304347826086,3.6666666666666665,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
24,0,18,1,2,3,1,3,2774,0,0,12,3,3,1,6,2,3,5,3,1,2,5548.0,0.16666666666666666,2.6666666666666665,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0
34,0,6,4,3,2,2,2,4505,6,0,15,3,3,1,12,3,3,1,0,0,0,4505.0,0.0,2.6666666666666665,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
37,0,3,3,3,3,3,4,7428,2,0,12,3,1,0,12,3,3,5,3,1,3,7428.0,0.08333333333333333,3.3333333333333335,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1
34,0,5,3,3,2,3,1,11631,2,0,12,3,4,0,14,6,3,11,10,5,8,9969.42857142857,0.35714285714285715,2.3333333333333335,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
36,0,11,2,2,3,3,4,9738,0,0,14,3,3,1,10,6,3,9,7,2,8,11685.6,0.2,3.0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0
36,0,3,2,1,3,1,4,2835,5,0,22,4,1,1,7,2,3,1,0,0,0,4860.0,0.0,2.6666666666666665,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
43,0,26,2,3,3,4,4,16959,1,1,12,3,4,2,25,3,4,25,12,4,12,8140.32,0.16,3.6666666666666665,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0
30,0,23,3,1,1,1,3,2613,1,0,25,4,3,3,10,2,2,10,7,0,9,3135.6,0.0,2.0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
33,0,22,2,3,3,2,2,6146,0,0,13,3,1,1,8,2,4,7,7,0,7,9219.0,0.0,3.0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0
56,1,14,4,2,3,1,2,4963,9,1,18,3,1,3,7,2,3,5,4,4,3,8508.0,0.5714285714285714,2.3333333333333335,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
51,0,6,3,1,3,5,3,19537,7,0,13,3,3,0,23,5,3,20,18,15,15,10193.217391304348,0.6521739130434783,2.3333333333333335,0,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
31,1,6,4,2,1,2,3,6172,4,1,18,3,2,0,12,3,2,7,7,7,7,6172.0,0.5833333333333334,2.3333333333333335,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0
